station_id,name
JAW00042501,MARCUS ISLAND NF
JAW00042502,MINAMI TORI SHIMA MA
JAW00043285,SASEBO USN BASE                        47811
JAW00043302,OSAKA
JAW00043306,ASHIYA
JAW00043307,TACHIKAWA
JAW00043309,IRUMA
JAW00043310,FUKUOKA
JAW00043311,TOKYO
JAW00043312,NAGOYA
JAW00043313,FUSSA YOKOTA AB                        47642
JAW00043314,MIHO
JAW00043315,BOFU
JAW00043316,BRADY
JAW00043317,YUKUHASHI
JAW00043318,NIIGATA                                47573
JAW00043319,ATSUGI
JAW00043320,OPPAMA
JAW00043321,KISARAZU                               47661
JAW00043322,IWAKUNI
JAW00043323,YOKOSUKA                               47696
JAW00043324,IWAKUNI                                47764
JAW00043325,KASTNER AAF                            47680
JAW00043326,CAMP OTSU
JAW00043327,CHOFU
JAW00043328,HAMAMATSU
JAW00043329,OTA
JAW00043401,MATSUSHIMA
JAW00043402,KASUMINOM
JAW00044401,CHITOSE HOKKAIDO
JAW00044402,MISAWA
